title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"com.bscotch.freewaymutant","com.bscotch.freewaymutant","com.android.vending","game","videogame" "obstacle runner","Freeway Mutant","Freeway Mutant","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bscotch.quadropus","com.bscotch.quadropus","com.android.vending","game","videogame","Quadropus","Quadropus","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bsplayer.bspandroid.free","com.bsplayer.bspandroid.free","com.android.vending","non-game","non-game software" "video player","BSPlayer FREE","BSPlayer FREE","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bti.myBeatBox","com.bti.myBeatBox","com.android.vending","non-game","non-game software","My BeatBox","My BeatBox","Borce Trajkovski","1","Mouais, sans intérêt.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.buak.Link2SD","com.buak.Link2SD","com.android.vending","non-game","non-game software" "application manager","Link2SD","Link2SD","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.buckman.magnatune","com.buckman.magnatune","com.android.vending","non-game","non-game software" "audio" "music" "store","Magnatune","Magnatune","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.BuddyMattEnt.ChainReaction","com.BuddyMattEnt.ChainReaction","com.android.vending","game","videogame" "boardgame conversion","Chain Reaction","Chain Reaction","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bulkypix.deadeffect.humble","com.bulkypix.deadeffect.humble","humblebundle","game","videogame","Dead Effect","Dead Effect","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bulkypix.lonewolfhumble","com.bulkypix.lonewolfhumble","humblebundle","game","videogame" "gamebook","LoneWolf","LoneWolf","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bulkypix.typerider.humble","com.bulkypix.typerider.humble","humblebundle","game","videogame","TypeRider","TypeRider","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bylecosoft.gamesign","com.bylecosoft.gamesign","com.android.vending","non-game","non-game software","GameSign","GameSign","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.bylecosoft.market_search","com.bylecosoft.market_search","com.android.vending","non-game","non-game software","Delicious market beta","Delicious market beta","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
